track_name,genre,artist_name,track_id,year,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
I Like It,Rap,Cardi B,58q2HKrzhC3ozto2nDdN4z,2010,90,0.099,0.816,253390,0.726,0,F,0.372,-3.998,Minor,0.129,136.048,44655,0.65
I Like It,Pop,Cardi B,58q2HKrzhC3ozto2nDdN4z,2010,90,0.099,0.816,253390,0.726,0,F,0.372,-3.998,Minor,0.129,136.048,44655,0.65
Baby,Rap,Amenazzy,2IA8cFA46DkjgbsRG7kKbp,2010,86,0.327,0.7,235973,0.71,0,B,0.129,-4.835,Major,0.0532,167.971,44655,0.582
Baby,Reggaeton,Amenazzy,2IA8cFA46DkjgbsRG7kKbp,2010,86,0.327,0.7,235973,0.71,0,B,0.129,-4.835,Major,0.0532,167.971,44655,0.582
"Hey, Soul Sister",Pop,Train,4HlFJV71xXKIGcU3kRyttv,2010,83,0.185,0.673,216773,0.886,0,C#,0.0826,-4.44,Minor,0.0431,97.012,44655,0.795
"Hey, Soul Sister",Rock,Train,4HlFJV71xXKIGcU3kRyttv,2010,83,0.185,0.673,216773,0.886,0,C#,0.0826,-4.44,Minor,0.0431,97.012,44655,0.795
"Hey, Soul Sister",Dance,Train,4HlFJV71xXKIGcU3kRyttv,2010,82,0.185,0.673,216773,0.886,0,C#,0.0826,-4.44,Minor,0.0431,97.012,44655,0.795
Love The Way You Lie,Hip-Hop,Eminem,15JINEqzVMv3SvJTAXAKED,2010,82,0.241,0.749,263373,0.925,0,A#,0.52,-5.034,Major,0.227,86.989,44655,0.641
Love The Way You Lie,Rap,Eminem,15JINEqzVMv3SvJTAXAKED,2010,82,0.241,0.749,263373,0.925,0,A#,0.52,-5.034,Major,0.227,86.989,44655,0.641
Just the Way You Are,Dance,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,2010,80,0.0151,0.637,220733,0.843,0,F,0.0876,-5.413,Major,0.0432,109.012,44655,0.434
Just the Way You Are,Pop,Bruno Mars,7BqBn9nzAq8spo5e7cZ0dJ,2010,80,0.0151,0.637,220733,0.843,0,F,0.0876,-5.413,Major,0.0432,109.012,44655,0.434
TiK ToK,Pop,Kesha,0HPD5WQqrq7wPWR7P7Dw1i,2010,77,0.0991,0.755,199693,0.837,0,D,0.289,-2.718,Minor,0.142,120.028,44655,0.714
